date,location_key,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,death_rate,recover_rate
2022-04-30,AR_A_049,5052,182,,14882,0.03602533650039588,
2022-04-29,AR_A_056,10785,314,,39266,0.029114510894761244,
2022-04-26,AR_A_070,788,21,,1815,0.0266497461928934,
2022-04-29,AR_A_077,2385,27,,6560,0.011320754716981131,
2022-04-27,AR_A_098,1546,48,,3681,0.031047865459249677,
2022-04-30,AR_A_105,1144,19,,2650,0.016608391608391608,
2022-04-30,AR_A_112,5916,111,,12742,0.018762677484787018,
2022-04-14,AR_A_119,1010,7,,2472,0.006930693069306931,
2022-04-29,AR_A_126,11611,391,,41014,0.03367496339677892,
2022-04-28,AR_A_133,2467,59,,6758,0.023915687069314958,
2022-04-25,AR_A_140,3513,89,,7534,0.02533447196128665,
2022-04-30,AR_A_147,5285,161,,12820,0.030463576158940398,
2022-04-27,AR_A_154,1046,22,,2293,0.021032504780114723,
2022-04-28,AR_A_161,1221,16,,3928,0.013104013104013105,
2022-04-30,AR_B,3518330,59905,,9404338,0.017026543843243813,
2022-04-27,AR_B_007,2074,27,,4626,0.013018322082931534,
2022-04-29,AR_B_014,1823,30,,4081,0.016456390565002744,
2022-04-29,AR_B_021,2726,34,,8249,0.012472487160674981,
2022-04-30,AR_B_028,119313,2372,,304536,0.019880482428570233,
2022-04-30,AR_B_035,84300,1560,,256843,0.018505338078291814,
2022-04-27,AR_B_042,4391,56,,11862,0.01275335914370303,
2022-04-30,AR_B_049,14525,272,,40223,0.0187263339070568,
2022-04-30,AR_B_056,64917,927,,123544,0.01427977263274643,
2022-04-29,AR_B_063,15133,235,,25950,0.015528976409172009,
2022-04-28,AR_B_070,6021,122,,13133,0.020262414881248962,
2022-04-30,AR_B_077,6171,93,,11447,0.015070491006319884,
2022-04-29,AR_B_084,2419,47,,5997,0.019429516329061595,
2022-04-30,AR_B_091,70744,1247,,170913,0.017626936559990952,
2022-04-29,AR_B_098,21201,380,,50859,0.017923682845148815,
2022-04-27,AR_B_105,11381,171,,40863,0.015025041736227046,
2022-04-29,AR_B_112,10384,227,,27071,0.02186055469953775,
2022-04-29,AR_B_119,5991,79,,11647,0.013186446336170924,
2022-04-30,AR_B_126,25655,339,,59031,0.013213798479828493,
2022-04-30,AR_B_134,12102,168,,31437,0.013882002974714923,
2022-04-28,AR_B_140,3177,50,,7026,0.015738117721120555,
2022-04-27,AR_B_147,4700,96,,10842,0.020425531914893616,
2022-04-29,AR_B_154,2798,40,,4699,0.014295925661186561,
2022-04-28,AR_B_161,3067,52,,8853,0.016954678839256603,
2022-04-22,AR_B_168,1719,27,,3481,0.015706806282722512,
2022-04-26,AR_B_175,5595,100,,10061,0.017873100983020553,
2022-04-29,AR_B_182,7265,135,,12288,0.018582243633860976,
2022-04-28,AR_B_189,3452,57,,5961,0.016512166859791424,
2022-04-29,AR_B_196,2744,101,,6794,0.036807580174927114,
2022-04-30,AR_B_203,9413,148,,22214,0.015722936364602147,
2022-04-30,AR_B_210,13842,212,,32247,0.015315705822857968,
2022-04-30,AR_B_217,8204,121,,17932,0.014748902974158947,
2022-04-30,AR_B_224,17380,258,,39977,0.014844649021864212,
2022-04-27,AR_B_231,4033,57,,9457,0.014133399454500373,
