date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-04-29,AR_G_056,0,0,,1,1578,41,,5426
2022-04-29,AR_G_063,0,0,,1,4038,45,,11297
2022-04-29,AR_G_070,0,0,,2,1036,17,,3450
2022-04-28,AR_G_077,0,0,,2,2706,33,,8679
2022-04-29,AR_G_084,0,0,,1,646,6,,2052
2022-04-24,AR_G_091,0,0,,3,952,20,,3330
2022-04-25,AR_G_098,0,0,,1,1298,21,,3887
2022-04-29,AR_G_105,0,0,,1,1545,28,,5611
2022-03-17,AR_G_112,0,0,,2,91,0,,186
2022-04-28,AR_G_119,0,0,,1,1932,26,,5788
2022-04-27,AR_G_126,0,0,,1,1138,8,,6124
2022-04-26,AR_G_133,0,0,,4,1404,18,,4901
2022-04-28,AR_G_140,0,0,,1,900,5,,3459
2022-04-30,AR_G_147,0,0,,2,5349,86,,18679
2022-04-28,AR_G_154,0,0,,1,540,4,,1242
2022-04-29,AR_G_161,0,0,,8,4001,93,,13677
2022-04-28,AR_G_168,0,0,,1,599,7,,2442
2022-04-29,AR_G_175,0,0,,1,813,16,,2739
2022-04-28,AR_G_182,0,0,,1,371,12,,1029
2022-04-22,AR_G_189,0,0,,1,587,16,,2229
2022-04-30,AR_H,1,0,,31,167256,2648,,611262
2022-04-30,AR_H_007,0,0,,1,2554,45,,8642
2022-04-30,AR_H_014,1,0,,1,3501,47,,18191
2022-04-30,AR_H_021,0,0,,3,14107,216,,53513
2022-04-30,AR_H_028,0,0,,1,3051,80,,7998
2022-04-29,AR_H_036,1,0,,2,2438,54,,7427
2022-04-29,AR_H_039,0,0,,1,1262,24,,3334
2022-04-30,AR_H_043,0,0,,2,1120,31,,3237
2022-04-26,AR_H_049,1,0,,4,828,26,,2377
2022-04-29,AR_H_056,0,0,,2,2027,26,,6833
2022-04-29,AR_H_063,0,0,,4,6438,53,,22301
2022-04-30,AR_H_070,0,0,,1,1498,36,,5475
2022-04-30,AR_H_077,0,0,,2,2448,30,,8940
2022-04-29,AR_H_084,1,0,,5,4598,100,,17758
2022-04-30,AR_H_091,0,0,,3,2428,36,,7725
2022-04-29,AR_H_098,0,0,,1,8113,165,,24724
2022-04-29,AR_H_105,0,0,,3,3565,54,,8933
2022-04-30,AR_H_112,0,0,,3,2380,40,,7015
2022-04-29,AR_H_119,0,0,,1,1087,22,,2516
2022-04-28,AR_H_126,0,0,,2,1921,35,,7688
2022-04-30,AR_H_133,0,0,,2,3135,56,,11590
2022-04-30,AR_H_140,0,0,,11,93309,1365,,354468
2022-04-26,AR_H_147,0,0,,1,950,25,,4119
2022-04-27,AR_H_154,0,0,,1,1408,24,,4700
2022-04-29,AR_H_161,0,0,,1,556,7,,1424
2022-04-30,AR_H_168,0,0,,1,2410,51,,9651
2022-04-30,AR_J,0,0,,8,145359,1236,,431986
2022-04-30,AR_J_007,0,0,,1,4965,36,,13668
2022-04-26,AR_J_014,0,0,,1,1597,12,,4373
2022-04-29,AR_J_021,0,0,,1,1319,13,,4479
2022-04-30,AR_J_028,0,0,,1,25552,220,,86760
2022-04-27,AR_J_035,0,0,,2,5544,83,,13839
2022-04-29,AR_J_042,0,0,,1,18319,136,,52784
2022-04-28,AR_J_049,1,0,,1,2057,9,,6800
2022-04-26,AR_J_056,0,0,,3,4190,56,,10507
2022-04-26,AR_J_063,0,0,,2,1650,12,,4517
2022-04-30,AR_J_070,0,0,,2,10610,82,,28865
2022-04-30,AR_J_077,0,0,,1,26235,226,,74584
2022-04-30,AR_J_084,0,0,,2,20606,148,,65217
2022-04-26,AR_J_091,0,0,,2,1907,8,,4713
2022-04-30,AR_J_098,0,0,,1,11822,95,,37208
2022-04-29,AR_J_105,0,0,,1,3070,33,,8234
2022-04-21,AR_J_112,0,0,,2,1004,4,,2442
2022-04-23,AR_J_119,0,0,,1,1510,23,,4461
2022-04-26,AR_J_126,0,0,,3,2098,32,,5263
2022-04-25,AR_J_133,0,0,,2,959,7,,2600
2022-04-30,AR_K,0,0,,11,86459,768,,269479
